"","logFC","logCPM","LR","PValue","FDR"
"Bra004735",-4.53609935746678,2.93333388596932,34.7319568715237,3.78369261161156e-09,5.68684832399095e-07
"Bra011759",-3.8145180900656,7.17401565222483,34.7308374467595,3.78586890171653e-09,5.68684832399095e-07
"Bra026483",1.54649529630516,4.92339909039598,34.7037982032298,3.83881881434461e-09,5.73056965117753e-07
"Bra011249",1.62024956847477,5.36678382768567,34.6842758543016,3.87750911702851e-09,5.75259593325082e-07
"Bra027659",2.03258853425982,2.98807710394119,34.6510201614487,3.94431813162139e-09,5.81581239112813e-07
"Bra011033",1.45404308636721,6.09110272210742,34.3431884860652,4.62014515365222e-09,6.69732249528399e-07
"Bra019095",1.48056406418852,4.59556770814758,34.3415683685289,4.62399274281949e-09,6.69732249528399e-07
"Bra000090",-2.81682964895474,5.98669859840719,34.340824018004,4.62576156368954e-09,6.69732249528399e-07
"Bra025383",1.63126080042468,5.06738770052725,34.2900547176788,4.74801915946728e-09,6.83316721428962e-07
"Bra021430",-1.83352192617992,5.25722418569552,34.2362040599199,4.88123549096676e-09,6.98307224939851e-07
"Bra002515",3.13134082110884,3.61540609623323,34.2133276258816,4.93895427695135e-09,7.02383592261827e-07
"Bra018479",-1.57363126566704,7.37877803653056,34.1334480976641,5.14590897032763e-09,7.2751044819326e-07
"Bra000534",1.75597615830087,5.40217452896137,34.0572597446907,5.35138770551705e-09,7.49572535681457e-07
"Bra020993",-2.3412992524845,3.7051585755791,34.0525569488068,5.36433702826041e-09,7.49572535681457e-07
"Bra025450",1.56366956061887,5.20762738349223,34.0248813622103,5.44118103884661e-09,7.55915289523928e-07
"Bra019537",-3.86811789097317,2.76015755002499,33.9744471755213,5.58406276808844e-09,7.71306692920905e-07
"Bra001781",2.61172679065478,3.13860459220854,33.8946524332721,5.81783881467557e-09,7.99005360410929e-07
"Bra015274",-2.89179889877264,6.06214771091569,33.641100245581,6.62774209265478e-09,8.99061191309392e-07
"Bra001195",1.3923600109854,5.09712032736123,33.6392441362939,6.63406932736022e-09,8.99061191309392e-07
"Bra035094",2.11224139823146,2.98552978683384,33.6320635169025,6.65860414633735e-09,8.99061191309392e-07
"Bra004982",2.40356124341082,4.03590476969902,33.6111421754744,6.73060774370414e-09,9.03706293364164e-07
"Bra027323",4.34373120019538,0.906632226672576,33.4382837871979,7.35615864365597e-09,9.82210649120153e-07
"Bra037411",2.65637264357414,4.33000082184096,33.4197399957155,7.42663294579903e-09,9.86141968062619e-07
"Bra024559",-1.41577649044291,5.01805115907319,33.072174576159,8.88004918492932e-09,1.16762652621026e-06
"Bra029041",2.71768934082016,9.37554913324773,33.0633945843579,8.92023972212424e-09,1.16762652621026e-06
"Bra030155",-2.2423343971126,6.81448259486648,33.0592794230843,8.93913958653106e-09,1.16762652621026e-06
"Bra033664",2.0696353743048,5.2292222607581,32.9891206339347,9.26760205648851e-09,1.20398674500349e-06
"Bra002697",-1.89150447508835,4.85591932547453,32.8726334117202,9.83987458814485e-09,1.27145992393265e-06
"Bra000651",4.48480034522212,0.618178231597622,32.7321747926922,1.05771827001742e-08,1.35942250810687e-06
"Bra007904",5.49981402320993,4.6761195542585,32.7153721332446,1.06690118662136e-08,1.36393101698179e-06
