"","logFC","logCPM","LR","PValue","FDR"
"Bra034161",-8.38180567442924,3.40725189409351,295.570528744607,3.0396778317738e-66,5.41152718584085e-64
"Bra000514",-9.47486158788063,3.35486755404192,294.892380338773,4.27150655418308e-66,7.54863150906148e-64
"Bra036336",9.19729862342274,3.24835952929893,293.79289504505,7.41544103786468e-66,1.30089569273022e-63
"Bra000759",7.91132880864364,3.281979632377,292.811319749343,1.21340336139732e-65,2.11325625998719e-63
"Bra027019",3.51320615787845,6.47456889687211,292.168203239963,1.67544592339042e-65,2.89695448365218e-63
"Bra030969",-9.35758485762758,3.22359731656467,291.82138409191,1.99387265630262e-65,3.4229096729698e-63
"Bra038893",6.27624106223875,3.40265588077895,291.692462392399,2.1270990580322e-65,3.62572331636496e-63
"Bra033546",7.42410106177416,3.87649036083385,291.326301416851,2.5560507743684e-65,4.32620593740635e-63
"Bra033118",7.45610619812575,3.49633435752433,291.123690208421,2.82954102535576e-65,4.75560762261541e-63
"Bra017242",-8.8576366284965,2.77345067341,290.212552775605,4.46933642463646e-65,7.45944664095227e-63
"Bra006511",5.66675750735919,4.4383804887616,288.750555152103,9.30681391804799e-65,1.54262045314735e-62
"Bra000592",-4.49090946325255,5.63889360402315,286.696976306306,2.60776995849484e-64,4.29281802619622e-62
"Bra034504",-3.78351179403276,5.69469292851476,284.395109501817,8.27659580241012e-64,1.35319526200765e-61
"Bra030526",6.96036544570666,3.48249131732145,282.714060670417,1.92382381102665e-63,3.1152521692697e-61
"Bra028860",5.8348832568117,4.26560418780026,282.706313788305,1.93131635691597e-63,3.1152521692697e-61
"Bra005918",-7.2579581088379,2.92003624534922,282.545700891169,2.09340188109349e-63,3.3541880540134e-61
"Bra008251",3.86635686719698,4.47940508508179,282.44461487071,2.20231949042433e-63,3.50533421409658e-61
"Bra035470",-4.75874191783218,5.32436193760977,281.051433931394,4.43069623206501e-63,7.00574692377964e-61
"Bra007164",-4.61258324048578,5.03652069530396,279.015917644854,1.23039924812788e-62,1.93277225683043e-60
"Bra014509",-8.81759578354509,2.73548608572726,278.799170186944,1.37176504558547e-62,2.14084422763643e-60
"Bra019299",3.31556419103427,5.0258562303325,277.620362745318,2.47838114870574e-62,3.84292984051573e-60
"Bra022475",-9.38691780624799,4.95710837490087,277.542089130451,2.57766096777684e-62,3.97125023715056e-60
"Bra012153",4.0194923287576,6.46237369937699,277.516726943901,2.6106751045852e-62,3.99649461551596e-60
"Bra029717",3.98734698203466,4.82573215932018,276.264811434757,4.89302749742366e-62,7.44297613120762e-60
"Bra006386",-6.20230853661191,3.15234085032363,276.205789059609,5.04011295363283e-62,7.61849526588752e-60
"Bra030307",2.71539351480152,5.04544307651223,276.102728275273,5.30762336517031e-62,7.97271374740645e-60
"Bra016721",-4.17483237467366,5.22828716050354,275.286858939558,7.9928544018195e-62,1.19316933349894e-59
"Bra004432",-4.37252040333211,4.43465632749174,273.191930909958,2.28694998652414e-61,3.39287382568649e-59
"Bra028811",-8.69320149887707,2.60760683099091,272.504326346734,3.22932231946964e-61,4.76156641878118e-59
"Bra027791",4.51525912477571,4.50959413382317,269.722541136633,1.30430847247151e-60,1.91144816020612e-58
"Bra001964",-8.7314635238848,2.66904297246892,269.448881710017,1.49631671580488e-60,2.17954399682754e-58
"Bra032343",4.97277155555609,7.13035140011202,268.513524427872,2.39267316028844e-60,3.46418715267303e-58
"Bra013286",5.72781516336402,3.49102394816097,268.146507030738,2.8765705505851e-60,4.13985009657259e-58
"Bra012554",7.58426658004061,2.98034410982783,267.586365334167,3.810298562826e-60,5.4509949797e-58
"Bra015110",-5.53089696265123,3.03725745517766,263.071689082089,3.67262080584515e-59,5.22294487856109e-57
"Bra101333",8.61424784686968,3.94543978887434,262.462070591835,4.98715746882377e-59,7.05066721210061e-57
"Bra016218",-8.79338056460936,2.75044429655153,262.412501397504,5.11278585514415e-59,7.18600556973886e-57
"Bra013043",-9.0987669605896,3.03690258333109,262.345106817138,5.2886826695185e-59,7.39001158600044e-57
"Bra025877",-5.52114416115848,3.97309801477178,262.082325487432,6.03428389155987e-59,8.38312017628612e-57
"Bra014622",-5.71892561494921,4.0765501195639,260.797559348883,1.14992166026479e-58,1.58834581510368e-56
"Bra032823",-3.39878415615293,4.11934182146622,260.585476596021,1.2790772276983e-58,1.75664811945719e-56
"Bra021487",-8.87960806783017,2.82128607082813,259.173784703085,2.59784016322183e-58,3.54752786834508e-56
"Bra015147",-7.33225762955217,3.03355422402263,258.471363345819,3.69595042124947e-58,5.01459514554652e-56
"Bra004775",6.03245479743988,3.20164293406441,258.46171257543,3.71389671260415e-58,5.01459514554652e-56
"Bra014162",5.49158311172688,4.9423480725892,258.398589825758,3.83344634290012e-58,5.14709773213752e-56
"Bra001676",6.7714951755847,6.31445895879529,258.361820120906,3.90485126142193e-58,5.21384417872304e-56
"Bra035313",-5.81598891780839,3.85449523434303,257.916340879865,4.88327265622181e-58,6.48423066406823e-56
"Bra026978",-7.84046974734628,2.89864917829557,257.675351237483,5.51115537913077e-58,7.27775320780378e-56
"Bra034506",9.12073324929093,3.17924704116095,257.04480363061,7.56296858212351e-58,9.93269873785555e-56
"Bra101055",6.46040369600965,3.31722299936555,256.993479315682,7.760331274036e-58,1.01365109695751e-55
"Bra006865",-8.71659711326746,2.6433824677668,256.610244964788,9.40632810072594e-58,1.2220091328262e-55
"Bra030498",-3.62531933275441,7.361445324967,252.494426541455,7.42408225105898e-57,9.59303187214794e-55
"Bra040784",8.78014349243087,2.86516810310524,251.403788739743,1.28352530495782e-56,1.64963888659659e-54
"Bra025497",-4.07015309145706,3.9227566457522,250.438323482798,2.08392237015036e-56,2.66409522575499e-54
"Bra027489",8.74770551438771,2.83080284792973,250.126256285735,2.43733204454147e-56,3.08541593228801e-54
"Bra036100",7.46681552228122,2.8730040358529,250.124758346898,2.43916546199019e-56,3.08541593228801e-54
"Bra031113",8.86105066803636,2.93724198660778,249.560733925556,3.23745674697935e-56,4.07377148989014e-54
"Bra100441",7.04675969513402,3.11349978702387,248.821463113207,4.69216990650402e-56,5.87352143400612e-54
"Bra025620",-5.54957653492295,3.66198332326827,247.64223332806,8.48132370454372e-56,1.05616649696893e-53
"Bra033382",-3.10864517885018,6.19711930168191,247.13836112605,1.0922369564827e-55,1.35313520680955e-53
"Bra023798",4.2848733997869,4.68441294236056,246.822066717183,1.28019228783187e-55,1.57557096206416e-53
"Bra010087",9.07131614977527,3.13148756641206,246.814761076486,1.28489601632926e-55,1.57557096206416e-53
"Bra017243",-8.64598650396995,2.57276723189714,246.68652628025,1.37033190138126e-55,1.67180491968514e-53
"Bra022967",-8.52886255935267,2.47646591575128,246.443196853366,1.548376872233e-55,1.87947928016404e-53
"Bra012555",6.94196948722065,3.01783584640089,246.19606821215,1.75289581729624e-55,2.11704010416573e-53
"Bra004927",-5.61700408716629,3.76624950249273,245.96071388723,1.97273466637912e-55,2.37063524858779e-53
"Bra007582",-9.70410435941266,3.59511203891718,245.759199247406,2.18274793490317e-55,2.60995840136631e-53
"Bra037612",8.64584587943968,2.74290126066909,245.05976983745,3.1009637523974e-55,3.68953281312471e-53
"Bra024175",-3.32949612091803,3.92511131436905,244.469690821875,4.17013415061262e-55,4.9371923239322e-53
"Bra023050",-5.18636842340978,6.42235856801834,243.74602259933,5.99696007457826e-55,7.06524208002029e-53
"Bra038623",-8.71857311940848,2.62858772830642,243.626641879598,6.36736689388746e-55,7.46503882574104e-53
"Bra033451",7.1921384265324,3.64909649703897,243.420587256073,7.06132703562135e-55,8.23844339680212e-53
"Bra019386",2.5279712778253,5.11766362594849,241.933860249137,1.48951394737974e-54,1.72941923726206e-52
"Bra005843",-9.76461267619474,3.6521835146706,241.897732263402,1.51677734359592e-54,1.75260705173002e-52
"Bra023264",-2.99043299187013,4.39703030355335,240.756349818285,2.69022475541293e-54,3.09362974983705e-52
"Bra038578",6.93089991991431,3.00349206076777,240.659331266429,2.82450719506757e-54,3.23258123458352e-52
"Bra021806",-6.32557200129953,3.82908811405948,240.187215484232,3.58001015393292e-54,4.07781820093004e-52
"Bra030108",5.45404995345401,3.77796516370232,240.115975306054,3.71037458878729e-54,4.20637466353367e-52
"Bra006468",6.43948960984152,3.30576143831412,240.073301074835,3.79072805176417e-54,4.2772938026338e-52
"Bra030641",7.62652753503162,3.01563384535243,239.886981507155,4.16244611817311e-54,4.67477710299872e-52
"Bra018065",-6.72633218208314,6.01881581816251,239.654552447901,4.67766086269096e-54,5.22897214762394e-52
"Bra020826",4.46941085141882,3.45579450105103,239.120702287095,6.11551604832717e-54,6.80464410673588e-52
"Bra012689",-8.51222407392534,2.43603896325998,237.288400068742,1.53450771862687e-53,1.69955569168102e-51
