"","logFC","logCPM","LR","PValue","FDR"
"Bra027572",-1.19074662080782,4.20141247581174,13.4668330415269,0.000242817819920759,0.00110111009131614
"Bra036319",0.953070014586728,3.97436366893626,13.4613622541102,0.000243526874686609,0.00110411713001659
"Bra021294",0.961505979454816,5.69143421812562,13.4593408801131,0.000243789387408689,0.00110509885646557
"Bra018689",0.955129707700486,5.15701540901257,13.456380064403,0.000244174418860743,0.00110663548612089
"Bra024118",2.14256305114444,2.73377489803047,13.4548624738704,0.000244372007411256,0.00110725293437317
"Bra017170",1.03059406177707,5.14551439596794,13.4546261059799,0.000244402796740021,0.00110725293437317
"Bra013993",-1.15884909668865,3.2398126416508,13.4512150017909,0.000244847563417766,0.0011090588652813
"Bra032550",1.01149841021009,4.24772210799384,13.4502297752661,0.000244976176784348,0.00110943234083946
"Bra035725",1.00035061493416,4.14349972095957,13.4496920219014,0.000245046404863963,0.00110954131396015
"Bra003176",-1.07957975204447,5.69131197768182,13.4482865733499,0.000245230045710019,0.00111016366897619
"Bra022425",-1.15020476567017,8.12887958022625,13.4479217699675,0.000245277734870112,0.00111017044818611
"Bra009994",1.17196618250288,4.25969759962217,13.4464952783298,0.000245464303665479,0.00111080570030053
"Bra034109",-0.945108401655713,3.88923793480791,13.4460815841473,0.000245518436882265,0.00111084151205353
"Bra030675",0.953678552812405,6.5560370134743,13.4447303690334,0.000245695331573065,0.00111143263674516
"Bra022422",-1.53044296538819,2.45756539333335,13.4441043753314,0.000245777327239499,0.00111152052690624
"Bra040226",-1.32710583111975,3.0651415624462,13.443875934335,0.000245807256407868,0.00111152052690624
"Bra030168",-1.03465893816704,5.71654620081173,13.4390862567031,0.000246435621968248,0.00111415232099038
"Bra015421",-1.54881756719893,2.72901886721289,13.4385644997071,0.000246504169818663,0.00111425262693657
"Bra018526",-0.937552350043151,4.92473759625369,13.4346084454551,0.000247024537398388,0.00111639483486891
"Bra013401",1.11905122560091,3.14895341022631,13.4315362047521,0.00024742941437834,0.00111801439089472
"Bra012062",1.79860055903891,1.7671435724166,13.4283172067688,0.000247854349348991,0.00111972395343114
"Bra013856",0.796412389689495,4.95118134389254,13.4263440758174,0.000248115182838624,0.00112069165652011
"Bra031781",0.996634004271418,3.73722341272278,13.4258956895559,0.000248174494790284,0.00112074893043775
"Bra036036",-0.877286692617135,5.07686837989083,13.4209762228767,0.000248826174631969,0.00112337683646685
"Bra016159",-0.919793082980932,5.18369751615538,13.4207974362522,0.000248849890877486,0.00112337683646685
"Bra023081",-2.36532553828478,2.2202528105093,13.4162229690242,0.00024945747452706,0.00112590815826918
"Bra039557",0.956510006110953,4.13468823105182,13.4158000072636,0.000249513728031368,0.00112595060824369
"Bra027453",-2.87560889742112,1.62700424056769,13.4151939146604,0.000249594360047287,0.00112610303160813
"Bra001585",-0.875072226424628,4.58960927166906,13.4128127811434,0.000249911390383766,0.00112732176360425
"Bra036283",-0.800153067794396,5.90713868811048,13.4074994635362,0.00025062028335774,0.00113030735414148
"Bra008947",1.15353816191713,3.48361797796203,13.405825261194,0.000250844071951543,0.0011311043949875
"Bra016595",-1.17876605535388,3.74543526390849,13.3979285702733,0.000251902331330868,0.00113566322101033
"Bra017497",-0.863517721471303,5.89880201193229,13.3939633577552,0.000252435417258006,0.00113785311672523
"Bra023631",-1.22888769441212,3.1166942517553,13.38720173591,0.000253347078297221,0.00114174829923034
"Bra008443",0.937057687208271,4.8237363970605,13.385686379064,0.000253551846720554,0.00114245689615332
"Bra008012",-0.892178044331545,7.84389252003856,13.3764798193678,0.000254799508803004,0.00114786342916053
"Bra002887",1.34323502892635,2.77660419234388,13.3692187593378,0.00025578788224981,0.00115210006783957
"Bra030917",-4.58771659229038,2.27046596955394,13.3681252632834,0.000255937063044337,0.00115255600022627
"Bra035166",0.921373845307658,4.11296417988377,13.3644118675919,0.000256444319911825,0.00115462397616351
"Bra040579",2.23663381402609,1.13258836475514,13.3521351309305,0.000258128569313256,0.00116198951767649
"Bra021327",-1.36310130763496,7.95587064939764,13.3497579752435,0.00025845597821631,0.00116317789596128
"Bra003739",-0.883717734601203,4.82136987243722,13.3495158180123,0.000258489354345062,0.00116317789596128
"Bra028411",-1.23947830063999,5.58915278106637,13.3448424609851,0.000259134326956053,0.0011658619270052
"Bra037830",0.787735664234839,6.43381703583175,13.3435203401713,0.000259317087766336,0.0011664658220805
"Bra018439",1.59282637065339,3.70092406770237,13.3425534154902,0.00025945083097232,0.00116684904034221
"Bra000009",1.04729896485572,6.48018465876657,13.3415598682788,0.000259588328978725,0.00116724899881659
"Bra007864",-1.44153095018376,7.47829317416723,13.3348113519174,0.000260524208681619,0.00117123809043285
"Bra040294",3.28825907044925,0.634719951766651,13.3343374212496,0.000260590060726124,0.00117131504011439
"Bra028967",-1.02662083167465,3.66006122205487,13.3300054558328,0.000261192759707111,0.00117380455998517
"Bra039835",-0.800737431866234,4.90697390528854,13.3290924500731,0.000261319963799106,0.00117408173405007
"Bra029740",-2.63909010596262,2.50222839749359,13.3288615933792,0.000261352137686938,0.00117408173405007
"Bra035834",-0.827021017228791,6.3363070913554,13.3266657859564,0.000261658361235578,0.00117523772265668
"Bra022245",-0.879481805724137,6.09552825180873,13.3236205626458,0.00026208364151317,0.00117692792229588
"Bra019057",0.802331118637904,4.72813796885114,13.3202957342652,0.000262548765641034,0.00117874467777739
"Bra008631",0.995803266772524,4.70356827103272,13.3200277262617,0.0002625862946168,0.00117874467777739
"Bra010854",1.73907319072982,2.34142646537974,13.3099627857813,0.000263999602627466,0.00118486768432278
"Bra031283",0.788037493634251,5.52883858785189,13.3021520482129,0.000265101659688831,0.00118959172684118
"Bra004143",0.849978010073655,4.79635489626416,13.2926069966905,0.000266454718010521,0.0011954125107017
"Bra009070",3.51378863218226,1.06886370335289,13.2923003370839,0.000266498303750508,0.0011954125107017
"Bra015613",1.51496032961086,3.80307910622701,13.2910227713851,0.000266679962385322,0.00119600414554372
"Bra030066",0.85395805997499,4.42031461262088,13.2903031050054,0.000266782347583089,0.00119624010108432
"Bra028839",-1.12334472848314,5.02253403510817,13.287514635401,0.000267179430737929,0.00119779713455613
"Bra012046",2.19214470667151,2.27413188019373,13.280002319434,0.000268252165172714,0.00120238204732581
"Bra035070",1.79486897455965,2.42637291709226,13.2728108042289,0.000269283157458449,0.00120677818503755
"Bra014842",-2.94269749358342,2.28263278143354,13.2688175700163,0.000269857360466499,0.00120912598833927
"Bra001873",-1.56743776721334,2.2862751141352,13.267436340215,0.000270056260128846,0.00120979164136751
"Bra038609",-1.33720421596491,2.71893303438741,13.2652630181691,0.000270369521774954,0.00121096926692867
"Bra025805",1.22086797594936,3.08936638741406,13.2626790349854,0.000270742452606312,0.00121241365864358
"Bra019726",-0.879877152376265,4.69438877398578,13.2618953057213,0.000270855666010931,0.00121269468645803
"Bra032831",1.11029873283602,4.53434872284819,13.2606067238252,0.000271041911508584,0.00121330253328316
"Bra032468",-6.88712345265392,1.22032005371121,13.2569444648033,0.000271571942111255,0.00121544880013071
"Bra036730",0.887360355291322,5.12797377651665,13.2519920863868,0.000272290350915854,0.00121821932519541
"Bra015387",0.83767087402383,4.88416459606931,13.2519783597989,0.000272292344801104,0.00121821932519541
"Bra008976",1.57261418725503,3.58773538117426,13.2515114963435,0.000272360168826869,0.00121829597945002
"Bra005434",1.07842466984341,3.92010245773511,13.2476351638482,0.000272923964746148,0.00122059072733698
"Bra001287",1.26830322634638,2.89968225408386,13.2460047536252,0.000273161452241558,0.00122142555221834
"Bra023498",-0.865632370826529,5.05534976369549,13.2393377173207,0.000274134750173232,0.00122554958810704
"Bra011104",-0.960656826859963,5.63845274114764,13.2340566344251,0.000274908198154059,0.00122877880499064
"Bra019674",-1.41713084876938,2.97878687701472,13.227083574039,0.000275932817792327,0.00123312929394213
"Bra010897",-0.827001995741111,6.04687155289186,13.2254900708166,0.000276167506592954,0.00123394866210356
"Bra026023",-0.851772057067675,5.64137383796113,13.2232940523609,0.000276491262700105,0.00123516561482051
"Bra020200",1.02535428398492,3.43526197176232,13.2223869718882,0.000276625104008425,0.0012355338691207
"Bra038769",1.20064296727054,3.86721881305869,13.2208926204515,0.000276845740610161,0.00123618996336855
"Bra020722",0.941789854314681,5.68631899959613,13.220695434349,0.000276874867804481,0.00123618996336855
"Bra013580",1.03987383005792,4.14753168637144,13.2185890512903,0.000277186203381932,0.00123735015083235
"Bra008512",0.973608231334919,5.95029062326106,13.2069207616663,0.000278917247047763,0.00124484626101131
"Bra009702",1.52466792100119,2.59568866585937,13.2058724764617,0.000279073297406401,0.00124521703148234
